id,left,top,right,bottom,NUMPOINTS
63788,318385.187931579654105,164926.300686422036961,322385.187931579654105,158926.300686422036961,4
63789,318385.187931579654105,158926.300686422036961,322385.187931579654105,152926.300686422036961,2
63790,318385.187931579654105,152926.300686422036961,322385.187931579654105,146926.300686422036961,3
63791,318385.187931579654105,146926.300686422036961,322385.187931579654105,140926.300686422036961,1
63804,318385.187931579654105,68926.300686422036961,322385.187931579654105,62926.300686422036961,0
63805,318385.187931579654105,62926.300686422036961,322385.187931579654105,56926.300686422036961,0
63806,318385.187931579654105,56926.300686422036961,322385.187931579654105,50926.300686422036961,0
63807,318385.187931579654105,50926.300686422036961,322385.187931579654105,44926.300686422036961,0
63800,318385.187931579654105,92926.300686422036961,322385.187931579654105,86926.300686422036961,0
63801,318385.187931579654105,86926.300686422036961,322385.187931579654105,80926.300686422036961,0
63802,318385.187931579654105,80926.300686422036961,322385.187931579654105,74926.300686422036961,0
63803,318385.187931579654105,74926.300686422036961,322385.187931579654105,68926.300686422036961,1
63796,318385.187931579654105,116926.300686422036961,322385.187931579654105,110926.300686422036961,0
63797,318385.187931579654105,110926.300686422036961,322385.187931579654105,104926.300686422036961,2
63798,318385.187931579654105,104926.300686422036961,322385.187931579654105,98926.300686422036961,0
63799,318385.187931579654105,98926.300686422036961,322385.187931579654105,92926.300686422036961,0
63792,318385.187931579654105,140926.300686422036961,322385.187931579654105,134926.300686422036961,1
63793,318385.187931579654105,134926.300686422036961,322385.187931579654105,128926.300686422036961,3
63794,318385.187931579654105,128926.300686422036961,322385.187931579654105,122926.300686422036961,2
63795,318385.187931579654105,122926.300686422036961,322385.187931579654105,116926.300686422036961,0
63820,318385.187931579654105,-27073.699313577963039,322385.187931579654105,-33073.699313577963039,0
63821,318385.187931579654105,-33073.699313577963039,322385.187931579654105,-39073.699313577963039,0
63822,318385.187931579654105,-39073.699313577963039,322385.187931579654105,-45073.699313577963039,0
63823,318385.187931579654105,-45073.699313577963039,322385.187931579654105,-51073.699313577963039,0
63816,318385.187931579654105,-3073.699313577963039,322385.187931579654105,-9073.699313577963039,0
63817,318385.187931579654105,-9073.699313577963039,322385.187931579654105,-15073.699313577963039,0
63818,318385.187931579654105,-15073.699313577963039,322385.187931579654105,-21073.699313577963039,0
63819,318385.187931579654105,-21073.699313577963039,322385.187931579654105,-27073.699313577963039,0
63812,318385.187931579654105,20926.300686422036961,322385.187931579654105,14926.300686422036961,0
63813,318385.187931579654105,14926.300686422036961,322385.187931579654105,8926.300686422036961,0
63814,318385.187931579654105,8926.300686422036961,322385.187931579654105,2926.300686422036961,0
63815,318385.187931579654105,2926.300686422036961,322385.187931579654105,-3073.699313577963039,0
63808,318385.187931579654105,44926.300686422036961,322385.187931579654105,38926.300686422036961,0
63809,318385.187931579654105,38926.300686422036961,322385.187931579654105,32926.300686422036961,0
63810,318385.187931579654105,32926.300686422036961,322385.187931579654105,26926.300686422036961,0
63811,318385.187931579654105,26926.300686422036961,322385.187931579654105,20926.300686422036961,0
63832,318385.187931579654105,-99073.699313577963039,322385.187931579654105,-105073.699313577963039,0
63833,318385.187931579654105,-105073.699313577963039,322385.187931579654105,-111073.699313577963039,0
63828,318385.187931579654105,-75073.699313577963039,322385.187931579654105,-81073.699313577963039,0
