id,학교명,학급 수,예측 교원 수
95,달서중학교,1.0,9.421
96,대구체육중학교,1.0,9.421
97,한울안중학교,1.0,9.421
98,구남중학교,2.0,11.141
99,가창중학교,2.0,11.141
100,신당중학교,2.0,11.141
101,경상여자중학교,3.0,12.861
102,논공중학교,3.0,12.861
103,서남중학교,3.0,12.861
104,대평중학교,3.0,12.861
105,경일중학교,3.0,12.861
106,경혜여자중학교,3.0,12.861
107,범일중학교,3.0,12.861
108,상인중학교,3.0,12.861
109,팔달중학교,3.0,12.861
110,수성중학교,3.0,12.861
111,입석중학교,4.0,14.581
112,현풍중학교,4.0,14.581
113,송현여자중학교,4.0,14.581
114,경암중학교,4.0,14.581
115,공산중학교,4.0,14.581
116,대구제일중학교,5.0,16.301
117,북동중학교,5.0,16.301
118,산격중학교,5.0,16.301
119,이곡중학교,5.0,16.301
120,신아중학교,5.0,16.301
121,대구북중학교,5.0,16.301
122,서대구중학교,5.0,16.301
123,천내중학교,5.0,16.301
124,경구중학교,5.0,16.301
125,성곡중학교,5.0,16.301
126,화원중학교,5.0,16.301
127,대명중학교,5.0,16.301
128,서변중학교,5.0,16.301
129,동촌중학교,6.0,18.021
130,관음중학교,6.0,18.021
131,대구중학교,6.0,18.021
132,불로중학교,7.0,19.741
133,대구중앙중학교,7.0,19.741
134,덕화중학교,7.0,19.741
135,새본리중학교,7.0,19.741
136,칠곡중학교,7.0,19.741
137,동변중학교,7.0,19.741
138,상서중학교,7.0,19.741
139,복현중학교,7.0,19.741
140,와룡중학교,7.0,19.741
141,지산중학교,7.0,19.741
142,대구팔공중학교,8.0,21.461
143,경운중학교,8.0,21.461
144,신기중학교,8.0,21.461
145,월배중학교,8.0,21.461
146,관천중학교,8.0,21.461
147,경상중학교,8.0,21.461
148,평리중학교,8.0,21.461
149,안심중학교,8.0,21.461
150,대서중학교,8.0,21.461
151,노변중학교,8.0,21.461
152,계성중학교,8.0,21.461
153,성명여자중학교,8.0,21.461
154,성산중학교,8.0,21.461
155,사수중학교,9.0,23.181
156,학산중학교,9.0,23.181
157,동원중학교,9.0,23.181
158,매호중학교,9.0,23.181
159,성당중학교,9.0,23.181
160,운암중학교,9.0,23.181
161,심인중학교,10.0,24.901
162,용산중학교,10.0,24.901
163,경서중학교,10.0,24.901
164,원화중학교,10.0,24.901
165,서재중학교,10.0,24.901
166,경일여자중학교,10.0,24.901
167,중리중학교,10.0,24.901
168,경북대학교사범대학부설중학교,10.0,24.901
169,다사중학교,11.0,26.621
170,협성경복중학교,11.0,26.621
171,구지중학교,11.0,26.621
172,청구중학교,11.0,26.621
173,범물중학교,11.0,26.621
174,달성중학교,12.0,28.341
175,대곡중학교,12.0,28.341
176,경명여자중학교,12.0,28.341
177,능인중학교,12.0,28.341
178,도원중학교,12.0,28.341
179,구암중학교,12.0,28.341
180,효성중학교,13.0,30.061
181,덕원중학교,13.0,30.061
182,영신중학교,13.0,30.061
183,매천중학교,13.0,30.061
184,대구동부중학교,13.0,30.061
185,서동중학교,13.0,30.061
186,성화중학교,13.0,30.061
187,성지중학교,13.0,30.061
188,고산중학교,13.0,30.061
189,율원중학교,14.0,31.781
190,대건중학교,14.0,31.781
191,상원중학교,14.0,31.781
192,성광중학교,15.0,33.501
193,대진중학교,15.0,33.501
194,성서중학교,15.0,33.501
195,침산중학교,15.0,33.501
196,학남중학교,15.0,33.501
197,황금중학교,15.0,33.501
198,포산중학교,16.0,35.221
199,영남중학교,16.0,35.221
200,신명여자중학교,16.0,35.221
201,유가중학교,16.0,35.221
202,새론중학교,17.0,36.940999999999995
203,시지중학교,17.0,36.940999999999995
204,대륜중학교,17.0,36.940999999999995
205,강동중학교,18.0,38.661
206,왕선중학교,18.0,38.661
207,오성중학교,18.0,38.661
208,대구일중학교,18.0,38.661
209,동평중학교,18.0,38.661
210,소선여자중학교,19.0,40.381
211,경신중학교,19.0,40.381
212,동도중학교,20.0,42.101
213,강북중학교,20.0,42.101
214,정화중학교,22.0,45.541
215,월서중학교,22.0,45.541
216,조암중학교,23.0,47.261
217,대구동중학교,23.0,47.261
218,월암중학교,15.0,33.501
